policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,sell_through_rate,-5.551115123125783e-18,0.0,-1.6653345369377347e-17,0.0,0.0,0.95,0.05
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_22288,always_0pct,episode_return,-0.013171216087553431,-0.008059911722747892,-0.01930327249136618,-0.007061487768859461,0.0,0.5,0.5
recovered_financial__checkpoint_22288,always_0pct,normalized_accounting_profit,-0.013171216087553447,-0.008059911722747864,-0.019797922944736743,-0.007424704122383811,0.0,0.5,0.5
recovered_financial__checkpoint_22288,always_0pct,raw_accounting_profit,-0.0286409992233349,-0.014245852714060064,-0.04434229278420993,-0.014525563207345943,0.0,0.5,0.5
recovered_financial__checkpoint_22288,always_0pct,revenue,-0.028640999223334913,-0.014245852714060037,-0.046222035266916664,-0.014100725060243522,0.0,0.5,0.5
recovered_financial__checkpoint_22288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_22288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_22288,always_0pct,sell_through_rate,1.1102230246251566e-17,0.0,0.0,3.3306690738754695e-17,0.05,0.95,0.0
recovered_financial__checkpoint_22288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_22288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,episode_return,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,normalized_accounting_profit,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,raw_accounting_profit,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,revenue,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,sell_through_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_27288,recovered_financial__checkpoint_22288,episode_return,0.013171216087553431,0.008059911722747892,0.007166714256535326,0.01935486625078589,0.5,0.5,0.0
recovered_financial__checkpoint_27288,recovered_financial__checkpoint_22288,normalized_accounting_profit,0.013171216087553447,0.008059911722747864,0.006884076000343331,0.020302567860673804,0.5,0.5,0.0
